region,subregion,dop2,DOY2,DOY3,CWAD_mean,CWAD_sd
illinois,henderson,Nov-1,Jun-1,Jun-1,4063.426014041667,804.1766094507661
illinois,henderson,Nov-1,Jun-15,Jun-15,4551.997796283334,645.0338439783554
illinois,henderson,Nov-1,Jul-1,Jul-1,4754.644563708333,554.7369964365454
illinois,henderson,Nov-1,Jul-15,Jul-15,4780.806139583333,538.1064606846286
illinois,jo daviess,Sep-15,Apr-1,Apr-1,2032.4935702666667,1043.8435777483182
illinois,jo daviess,Sep-15,Apr-15,Apr-15,2825.6371171666665,946.0738726923931
illinois,jo daviess,Sep-15,May-1,May-1,3640.3423874444443,694.0383674242345
illinois,jo daviess,Sep-15,May-15,May-15,4167.897255855555,559.7302809184308
illinois,jo daviess,Sep-15,Jun-1,Jun-1,4567.1902566555555,552.9600936184147
illinois,jo daviess,Sep-15,Jun-15,Jun-15,4721.629063844444,554.5222130179594
illinois,jo daviess,Sep-15,Jul-1,Jul-1,4758.533152233334,552.3311577124996
illinois,jo daviess,Sep-15,Jul-15,Jul-15,4759.950525344444,551.981388670985
illinois,jo daviess,Oct-7,Apr-1,Apr-1,360.88058814444446,544.0906822062349
illinois,jo daviess,Oct-7,Apr-15,Apr-15,807.9732849777778,939.8638783503188
illinois,jo daviess,Oct-7,May-1,May-1,1741.5378653666667,1101.0879710904737
illinois,jo daviess,Oct-7,May-15,May-15,2843.7957258666665,926.755586012439
illinois,jo daviess,Oct-7,Jun-1,Jun-1,3817.7562231888887,639.8633589664937
illinois,jo daviess,Oct-7,Jun-15,Jun-15,4291.682283533333,469.504376602605
illinois,jo daviess,Oct-7,Jul-1,Jul-1,4530.030841922222,352.67297698142545
illinois,jo daviess,Oct-7,Jul-15,Jul-15,4570.210836088889,325.2798315228708
illinois,jo daviess,Nov-1,Apr-1,Apr-1,29.46697348888889,56.468003752197944
illinois,jo daviess,Nov-1,Apr-15,Apr-15,135.67812537777777,255.14787609757187
illinois,jo daviess,Nov-1,May-1,May-1,515.0237654111111,700.9987403830646
illinois,jo daviess,Nov-1,May-15,May-15,1295.811244611111,1032.4584534204014
illinois,jo daviess,Nov-1,Jun-1,Jun-1,2663.4871464666667,1035.0123281581716
illinois,jo daviess,Nov-1,Jun-15,Jun-15,3538.4474218333335,954.5062734982969
illinois,jo daviess,Nov-1,Jul-1,Jul-1,4088.2658663666666,953.4018974748983
illinois,jo daviess,Nov-1,Jul-15,Jul-15,4264.569615166667,964.714508672596
illinois,mercer,Sep-15,Apr-1,Apr-1,3346.7205369666667,1010.6800356412846
illinois,mercer,Sep-15,Apr-15,Apr-15,4095.366153358333,1128.8317419910477
illinois,mercer,Sep-15,May-1,May-1,4754.938560075,1316.54169741307
illinois,mercer,Sep-15,May-15,May-15,5129.502307991666,1451.059601906193
illinois,mercer,Sep-15,Jun-1,Jun-1,5316.5187769,1516.8608267423544
illinois,mercer,Sep-15,Jun-15,Jun-15,5342.990805458333,1524.871235440055
illinois,mercer,Sep-15,Jul-1,Jul-1,5344.3418716666665,1525.133799268383
illinois,mercer,Sep-15,Jul-15,Jul-15,5344.3418716666665,1525.133799268383
illinois,mercer,Oct-7,Apr-1,Apr-1,1260.2596410416666,1062.1635099674033
illinois,mercer,Oct-7,Apr-15,Apr-15,2179.3516949,1257.5139980876502
illinois,mercer,Oct-7,May-1,May-1,3375.117919875,1137.9353610992073
illinois,mercer,Oct-7,May-15,May-15,4246.47193055,935.6100568979718
illinois,mercer,Oct-7,Jun-1,Jun-1,4865.283933233333,792.0319710564721
illinois,mercer,Oct-7,Jun-15,Jun-15,5073.060181175,723.1819285686673
illinois,mercer,Oct-7,Jul-1,Jul-1,5120.866757,697.0412954801285
illinois,mercer,Oct-7,Jul-15,Jul-15,5122.50021785,695.5285842064925
illinois,mercer,Nov-1,Apr-1,Apr-1,206.733108325,344.4910369680638
illinois,mercer,Nov-1,Apr-15,Apr-15,591.686611575,775.9509099527257
illinois,mercer,Nov-1,May-1,May-1,1492.5997031166667,1111.47254401547
illinois,mercer,Nov-1,May-15,May-15,2664.7016000916665,1109.366795289942
illinois,mercer,Nov-1,Jun-1,Jun-1,3798.92903825,945.8265129905443
illinois,mercer,Nov-1,Jun-15,Jun-15,4337.895499266667,852.6081060674796
illinois,mercer,Nov-1,Jul-1,Jul-1,4579.909648833333,802.1688393663345
illinois,mercer,Nov-1,Jul-15,Jul-15,4616.743705333333,791.8514870177154
illinois,rock island,Sep-15,Apr-1,Apr-1,2907.818665566667,1031.3668299448773
illinois,rock island,Sep-15,Apr-15,Apr-15,3718.3309576875,1060.1552417296768
illinois,rock island,Sep-15,May-1,May-1,4468.8386304875,1137.724001349065
illinois,rock island,Sep-15,May-15,May-15,4923.808255666667,1247.9736664243915
illinois,rock island,Sep-15,Jun-1,Jun-1,5201.449460145834,1324.230307754912
illinois,rock island,Sep-15,Jun-15,Jun-15,5259.854911725,1338.0154402642356
illinois,rock island,Sep-15,Jul-1,Jul-1,5265.625718304167,1339.2285158477096
illinois,rock island,Sep-15,Jul-15,Jul-15,5265.6306229374995,1339.229415552046
illinois,rock island,Oct-7,Apr-1,Apr-1,832.1750951958334,883.0004544974158
illinois,rock island,Oct-7,Apr-15,Apr-15,1591.792635,1164.8681041545487
illinois,rock island,Oct-7,May-1,May-1,2783.6047416375,1141.7564163824288
illinois,rock island,Oct-7,May-15,May-15,3772.3645448708335,919.8489363650925
illinois,rock island,Oct-7,Jun-1,Jun-1,4542.9454981,743.2033056108131
illinois,rock island,Oct-7,Jun-15,Jun-15,4848.67437495,667.5020854157931
illinois,rock island,Oct-7,Jul-1,Jul-1,4944.041756283334,635.4700487190321
illinois,rock island,Oct-7,Jul-15,Jul-15,4950.659345825,632.2471173026851
illinois,rock island,Nov-1,Apr-1,Apr-1,108.29632515,198.02668881902804
illinois,rock island,Nov-1,Apr-15,Apr-15,366.82865323333334,574.5988195266931
illinois,rock island,Nov-1,May-1,May-1,1059.4825801541667,979.1844234579397
illinois,rock island,Nov-1,May-15,May-15,2157.2490754666665,1105.231239629222
illinois,rock island,Nov-1,Jun-1,Jun-1,3408.1161047791666,1012.2450766750798
illinois,rock island,Nov-1,Jun-15,Jun-15,4060.2026342791664,944.0347481309811
illinois,rock island,Nov-1,Jul-1,Jul-1,4402.538632633334,918.9021475945028
illinois,rock island,Nov-1,Jul-15,Jul-15,4473.389667916666,915.9550097683167
illinois,whiteside,Sep-15,Apr-1,Apr-1,2420.4289269833334,843.6869952136216
illinois,whiteside,Sep-15,Apr-15,Apr-15,3040.0242598,646.5431261774985
illinois,whiteside,Sep-15,May-1,May-1,3579.314166766667,449.0907730973084
illinois,whiteside,Sep-15,May-15,May-15,3910.0140662833332,402.9006808748593
illinois,whiteside,Sep-15,Jun-1,Jun-1,4157.050583983333,401.58051848467295
illinois,whiteside,Sep-15,Jun-15,Jun-15,4231.712870633333,402.789367647078
illinois,whiteside,Sep-15,Jul-1,Jul-1,4243.12948135,403.8937922867408
illinois,whiteside,Sep-15,Jul-15,Jul-15,4243.2409363,403.91399507470493
illinois,whiteside,Oct-7,Apr-1,Apr-1,573.3009113166667,717.5925513654144
illinois,whiteside,Oct-7,Apr-15,Apr-15,1150.4607074666667,981.479217090163
illinois,whiteside,Oct-7,May-1,May-1,2154.091637533333,940.7123918338194
illinois,whiteside,Oct-7,May-15,May-15,2994.07643215,664.259220069225
illinois,whiteside,Oct-7,Jun-1,Jun-1,3639.99252245,440.23196270302236
illinois,whiteside,Oct-7,Jun-15,Jun-15,3939.7206762166666,332.86519802752343
illinois,whiteside,Oct-7,Jul-1,Jul-1,4064.328707816667,282.5456258651101
illinois,whiteside,Oct-7,Jul-15,Jul-15,4077.98646805,278.2354673424049
illinois,whiteside,Nov-1,Apr-1,Apr-1,58.54578115,107.21192696523323
illinois,whiteside,Nov-1,Apr-15,Apr-15,235.16466156666667,401.62096589961317
illinois,whiteside,Nov-1,May-1,May-1,766.80225635,806.0454599698767
illinois,whiteside,Nov-1,May-15,May-15,1719.1878983666666,901.8257788236293
illinois,whiteside,Nov-1,Jun-1,Jun-1,2905.6516830833334,636.8714286568556
illinois,whiteside,Nov-1,Jun-15,Jun-15,3536.37451725,404.1994993859178
illinois,whiteside,Nov-1,Jul-1,Jul-1,3911.5585975833333,262.58467207385786
illinois,whiteside,Nov-1,Jul-15,Jul-15,4013.81037995,236.54016406082678
iowa,adair,Sep-15,Apr-1,Apr-1,3019.7787651,1219.7061698368661
iowa,adair,Sep-15,Apr-15,Apr-15,3914.454591677193,1183.3325465157427
iowa,adair,Sep-15,May-1,May-1,4777.64937064386,1079.4330351532835
iowa,adair,Sep-15,May-15,May-15,5302.727068787719,1078.1699923324256
iowa,adair,Sep-15,Jun-1,Jun-1,5613.061895805263,1093.5054519731848
iowa,adair,Sep-15,Jun-15,Jun-15,5684.6026844368425,1091.3761277965432
iowa,adair,Sep-15,Jul-1,Jul-1,5691.9987317543855,1090.3855294124958
iowa,adair,Sep-15,Jul-15,Jul-15,5692.010126719299,1090.3814421885818
iowa,adair,Oct-7,Apr-1,Apr-1,843.9712376877193,887.0492616796313
iowa,adair,Oct-7,Apr-15,Apr-15,1587.3662980964912,1219.0296774552492
iowa,adair,Oct-7,May-1,May-1,2754.570147554386,1270.52839548969
iowa,adair,Oct-7,May-15,May-15,3828.561078277193,1010.4405803458376
iowa,adair,Oct-7,Jun-1,Jun-1,4670.325287310527,736.6353029934926
iowa,adair,Oct-7,Jun-15,Jun-15,5020.456296559649,570.8232356098207
iowa,adair,Oct-7,Jul-1,Jul-1,5131.41701798421,497.05178937405645
iowa,adair,Oct-7,Jul-15,Jul-15,5139.500112749123,489.3386049489966
iowa,adair,Nov-1,Apr-1,Apr-1,107.00321940877193,199.38392758704146
iowa,adair,Nov-1,Apr-15,Apr-15,366.71626507543857,559.5107254862636
iowa,adair,Nov-1,May-1,May-1,1051.9974632333333,991.4875594927709
iowa,adair,Nov-1,May-15,May-15,2148.5044985175437,1141.0719317860269
iowa,adair,Nov-1,Jun-1,Jun-1,3481.307109122807,938.0647604122765
iowa,adair,Nov-1,Jun-15,Jun-15,4243.253536154386,663.7581255818055
iowa,adair,Nov-1,Jul-1,Jul-1,4631.528339682456,494.68385122435893
iowa,adair,Nov-1,Jul-15,Jul-15,4715.060074726316,449.82478257266695
iowa,adams,Sep-15,Apr-1,Apr-1,3289.832930091111,1149.6310423037771
iowa,adams,Sep-15,Apr-15,Apr-15,4096.067292257778,1157.990120706134
iowa,adams,Sep-15,May-1,May-1,4810.3601255466665,1182.4635896923514
iowa,adams,Sep-15,May-15,May-15,5215.0353585444445,1252.4493701407341
iowa,adams,Sep-15,Jun-1,Jun-1,5434.564033917778,1299.7954519397058
iowa,adams,Sep-15,Jun-15,Jun-15,5474.077932526667,1308.129816622887
iowa,adams,Sep-15,Jul-1,Jul-1,5476.54148464,1308.656071483294
iowa,adams,Sep-15,Jul-15,Jul-15,5476.541486733333,1308.6560717641635
iowa,adams,Oct-7,Apr-1,Apr-1,1175.0700055044445,1054.613529821
iowa,adams,Oct-7,Apr-15,Apr-15,2052.8860412422223,1328.7632575046036
iowa,adams,Oct-7,May-1,May-1,3226.67101212,1233.80355130308
iowa,adams,Oct-7,May-15,May-15,4174.0613590933335,925.7844779799317
iowa,adams,Oct-7,Jun-1,Jun-1,4860.409395948889,659.9673848045632
iowa,adams,Oct-7,Jun-15,Jun-15,5117.204244562222,521.8267257521125
iowa,adams,Oct-7,Jul-1,Jul-1,5184.317216197778,472.1144915680084
iowa,adams,Oct-7,Jul-15,Jul-15,5186.995001673334,469.6161062708788
iowa,adams,Nov-1,Apr-1,Apr-1,176.0895730088889,286.3212757361531
iowa,adams,Nov-1,Apr-15,Apr-15,549.9376857933333,705.7350838196979
iowa,adams,Nov-1,May-1,May-1,1403.3942523355556,1107.0400157597878
iowa,adams,Nov-1,May-15,May-15,2565.4620195355556,1138.4379567390731
iowa,adams,Nov-1,Jun-1,Jun-1,3786.83595516,835.2380251401846
iowa,adams,Nov-1,Jun-15,Jun-15,4419.056275222222,566.3900117459964
iowa,adams,Nov-1,Jul-1,Jul-1,4709.9405000844445,407.22961467483975
iowa,adams,Nov-1,Jul-15,Jul-15,4760.2211519933335,371.42879556030493
iowa,allamakee,Sep-15,Apr-1,Apr-1,1151.9708301285714,974.3533031034339
iowa,allamakee,Sep-15,Apr-15,Apr-15,1826.498026393651,1098.2189524284775
iowa,allamakee,Sep-15,May-1,May-1,2781.934846488889,1026.4123213059786
iowa,allamakee,Sep-15,May-15,May-15,3511.3057063968254,887.9425607351811
iowa,allamakee,Sep-15,Jun-1,Jun-1,4084.8168507047617,858.6943995576166
iowa,allamakee,Sep-15,Jun-15,Jun-15,4360.748918711111,843.5435929058084
iowa,allamakee,Sep-15,Jul-1,Jul-1,4474.00192011746,825.4811960354027
iowa,allamakee,Sep-15,Jul-15,Jul-15,4487.779104411111,820.7599328996263
iowa,allamakee,Oct-7,Apr-1,Apr-1,118.16873243650794,198.43444743316138
iowa,allamakee,Oct-7,Apr-15,Apr-15,339.56307234603173,524.2725149449307
iowa,allamakee,Oct-7,May-1,May-1,902.6215164460317,897.7380358904303
iowa,allamakee,Oct-7,May-15,May-15,1839.891345604762,975.9462937898276
iowa,allamakee,Oct-7,Jun-1,Jun-1,3012.9043144142856,821.1268799797224
iowa,allamakee,Oct-7,Jun-15,Jun-15,3655.1395256031747,717.7207005904086
iowa,allamakee,Oct-7,Jul-1,Jul-1,4049.2040509666667,673.3721681038477
iowa,allamakee,Oct-7,Jul-15,Jul-15,4164.673363755555,654.6742282078538
iowa,allamakee,Nov-1,Apr-1,Apr-1,6.265108358730159,11.669975335072287
iowa,allamakee,Nov-1,Apr-15,Apr-15,32.85842963492063,63.39092006613485
iowa,allamakee,Nov-1,May-1,May-1,197.42805624285714,322.2950593900493
iowa,allamakee,Nov-1,May-15,May-15,667.8635936793651,750.6283393327652
iowa,allamakee,Nov-1,Jun-1,Jun-1,1851.294870768254,950.4868737564868
iowa,allamakee,Nov-1,Jun-15,Jun-15,2890.8676209777777,837.5970850050915
iowa,allamakee,Nov-1,Jul-1,Jul-1,3634.052453625397,787.1073384275866
iowa,allamakee,Nov-1,Jul-15,Jul-15,3943.504211804762,783.2741437445358
iowa,appanoose,Sep-15,Apr-1,Apr-1,3380.6965114,1011.3546959341909
iowa,appanoose,Sep-15,Apr-15,Apr-15,4152.27699515,1069.8927586161901
iowa,appanoose,Sep-15,May-1,May-1,4788.61770098125,1190.0583807001055
iowa,appanoose,Sep-15,May-15,May-15,5149.047634704167,1290.603192968585
iowa,appanoose,Sep-15,Jun-1,Jun-1,5340.613503872916,1345.4031555500012
iowa,appanoose,Sep-15,Jun-15,Jun-15,5370.08445385625,1353.1342773916751
iowa,appanoose,Sep-15,Jul-1,Jul-1,5371.99747354375,1353.604649340067
iowa,appanoose,Sep-15,Jul-15,Jul-15,5371.99747354375,1353.604649340067
iowa,appanoose,Oct-7,Apr-1,Apr-1,1211.0615828875,1003.337266423892
iowa,appanoose,Oct-7,Apr-15,Apr-15,2134.647617641667,1214.2428976062522
iowa,appanoose,Oct-7,May-1,May-1,3331.759134252083,1089.5804877424052
iowa,appanoose,Oct-7,May-15,May-15,4212.43586479375,874.0137376875567
iowa,appanoose,Oct-7,Jun-1,Jun-1,4842.749154566666,738.6013964287786
iowa,appanoose,Oct-7,Jun-15,Jun-15,5062.975175747917,674.4152604911587
iowa,appanoose,Oct-7,Jul-1,Jul-1,5117.683069589583,648.1359287196399
iowa,appanoose,Oct-7,Jul-15,Jul-15,5119.431773827083,647.1601686868122
iowa,appanoose,Nov-1,Apr-1,Apr-1,203.51190080208335,323.57217482752594
iowa,appanoose,Nov-1,Apr-15,Apr-15,599.3813966,735.0617818990056
iowa,appanoose,Nov-1,May-1,May-1,1514.3099938770833,1081.4653333075591
iowa,appanoose,Nov-1,May-15,May-15,2705.6046584104165,1058.5322148996029
iowa,appanoose,Nov-1,Jun-1,Jun-1,3860.2560790875,826.0226426201659
iowa,appanoose,Nov-1,Jun-15,Jun-15,4408.9921068375,684.1489212778838
iowa,appanoose,Nov-1,Jul-1,Jul-1,4663.087031770833,598.605446621598
iowa,appanoose,Nov-1,Jul-15,Jul-15,4701.170438627083,583.0571041575537
iowa,audubon,Sep-15,Apr-1,Apr-1,2585.35258427,1237.3935668080994
iowa,audubon,Sep-15,Apr-15,Apr-15,3461.02660273,1212.289393585037
iowa,audubon,Sep-15,May-1,May-1,4372.69997629,1065.857662003779
iowa,audubon,Sep-15,May-15,May-15,4965.811540283334,1018.5487688356498
iowa,audubon,Sep-15,Jun-1,Jun-1,5345.127613466667,1010.7384202160688
iowa,audubon,Sep-15,Jun-15,Jun-15,5454.676477403334,995.7139556047402
iowa,audubon,Sep-15,Jul-1,Jul-1,5470.3468373333335,991.7718777450332
iowa,audubon,Sep-15,Jul-15,Jul-15,5470.471118296667,991.717209865831
iowa,audubon,Oct-7,Apr-1,Apr-1,599.1625851766667,717.000917121174
iowa,audubon,Oct-7,Apr-15,Apr-15,1219.6173814733334,1088.7496959550115
iowa,audubon,Oct-7,May-1,May-1,2301.73739243,1248.8037647400574
iowa,audubon,Oct-7,May-15,May-15,3418.08535737,1049.4216937555477
iowa,audubon,Oct-7,Jun-1,Jun-1,4368.504872346667,764.6127937442161
iowa,audubon,Oct-7,Jun-15,Jun-15,4804.621232703334,573.2162949639641
iowa,audubon,Oct-7,Jul-1,Jul-1,4966.435770093333,480.54383733594045
iowa,audubon,Oct-7,Jul-15,Jul-15,4983.71889543,467.12245525032284
iowa,audubon,Nov-1,Apr-1,Apr-1,62.88134221666667,129.04536414994902
iowa,audubon,Nov-1,Apr-15,Apr-15,246.73050906333333,429.9661706411416
iowa,audubon,Nov-1,May-1,May-1,796.26658844,874.8132039359274
iowa,audubon,Nov-1,May-15,May-15,1789.98460707,1121.1809105796358
iowa,audubon,Nov-1,Jun-1,Jun-1,3159.67117659,1045.5413999750401
iowa,audubon,Nov-1,Jun-15,Jun-15,4010.934367916667,844.4847907433455
iowa,audubon,Nov-1,Jul-1,Jul-1,4478.862457493334,747.9175689572597
iowa,audubon,Nov-1,Jul-15,Jul-15,4595.083976406667,729.3259254305586
iowa,benton,Sep-15,Apr-1,Apr-1,2411.009443605333,1211.577515719573
iowa,benton,Sep-15,Apr-15,Apr-15,3384.2806177293332,1220.3929570530652
iowa,benton,Sep-15,May-1,May-1,4448.7774127,1104.4574374062481
iowa,benton,Sep-15,May-15,May-15,5156.5958585866665,1049.3527619998151
iowa,benton,Sep-15,Jun-1,Jun-1,5631.168493698667,1057.3895829087926
iowa,benton,Sep-15,Jun-15,Jun-15,5766.464002690666,1051.1694557958053
iowa,benton,Sep-15,Jul-1,Jul-1,5788.699373256,1046.424173037153
iowa,benton,Sep-15,Jul-15,Jul-15,5789.132060002667,1046.2404383173903
iowa,benton,Oct-7,Apr-1,Apr-1,492.13160984533334,692.285010844724
iowa,benton,Oct-7,Apr-15,Apr-15,1033.2558539773333,1068.7840936276598
iowa,benton,Oct-7,May-1,May-1,2112.4968518333335,1256.9097897063366
iowa,benton,Oct-7,May-15,May-15,3305.54629874,1104.3534471918933
iowa,benton,Oct-7,Jun-1,Jun-1,4393.5055789493335,836.4082919467334
iowa,benton,Oct-7,Jun-15,Jun-15,4882.547444882666,666.3541779614043
iowa,benton,Oct-7,Jul-1,Jul-1,5076.202593761333,577.1403444444161
iowa,benton,Oct-7,Jul-15,Jul-15,5099.8597121093335,561.6290958418308
iowa,benton,Nov-1,Apr-1,Apr-1,49.966125232,100.26536240314225
iowa,benton,Nov-1,Apr-15,Apr-15,198.702588512,371.0240381959295
iowa,benton,Nov-1,May-1,May-1,666.0035446013334,820.2453997306247
iowa,benton,Nov-1,May-15,May-15,1598.2278575493333,1108.1402206157636
iowa,benton,Nov-1,Jun-1,Jun-1,3066.338662810667,1069.4895182894168
iowa,benton,Nov-1,Jun-15,Jun-15,3972.9004207093335,906.9673249597303
iowa,benton,Nov-1,Jul-1,Jul-1,4497.344183312,816.3193526751929
iowa,benton,Nov-1,Jul-15,Jul-15,4638.335584078666,798.5347166609645
iowa,black hawk,Sep-15,Apr-1,Apr-1,1819.9770885883333,1213.0106045936918
iowa,black hawk,Sep-15,Apr-15,Apr-15,2760.476022651667,1315.4049357994297
iowa,black hawk,Sep-15,May-1,May-1,3961.4567161883333,1244.8896749360383
iowa,black hawk,Sep-15,May-15,May-15,4847.521887488333,1129.824156431063
iowa,black hawk,Sep-15,Jun-1,Jun-1,5500.1080383066665,1092.9196465999714
iowa,black hawk,Sep-15,Jun-15,Jun-15,5725.238915926667,1062.280265619084
iowa,black hawk,Sep-15,Jul-1,Jul-1,5774.820130515,1046.7710635627652
iowa,black hawk,Sep-15,Jul-15,Jul-15,5776.92092791,1045.4185711352802
iowa,black hawk,Oct-7,Apr-1,Apr-1,284.19904455333335,453.0581489819268
iowa,black hawk,Oct-7,Apr-15,Apr-15,677.02080089,877.6304671820036
iowa,black hawk,Oct-7,May-1,May-1,1562.2182719416667,1219.6264670461853
iowa,black hawk,Oct-7,May-15,May-15,2773.74591121,1209.7035003710114
iowa,black hawk,Oct-7,Jun-1,Jun-1,4059.859995378333,977.6384883841556
iowa,black hawk,Oct-7,Jun-15,Jun-15,4706.764433808334,782.3136469447369
iowa,black hawk,Oct-7,Jul-1,Jul-1,5006.45328349,663.5631486440918
iowa,black hawk,Oct-7,Jul-15,Jul-15,5056.837906338334,637.0398751199345
iowa,black hawk,Nov-1,Apr-1,Apr-1,20.216665268333333,40.211096581203904
iowa,black hawk,Nov-1,Apr-15,Apr-15,102.369619985,207.33123377673846
iowa,black hawk,Nov-1,May-1,May-1,427.2148648666667,631.944539667195
iowa,black hawk,Nov-1,May-15,May-15,1174.094243375,1043.3576173626707
iowa,black hawk,Nov-1,Jun-1,Jun-1,2660.938532731667,1123.9852787837604
iowa,black hawk,Nov-1,Jun-15,Jun-15,3743.94962192,931.0751285476554
iowa,black hawk,Nov-1,Jul-1,Jul-1,4442.14582156,763.938673061682
